order_item_id,order_id,product_id,quantity,unit_price,discount,line_amount
1,1,221,2,1264.36,63.22,2402.28
2,1,285,2,448.6,44.86,807.48
3,1,294,1,935.73,140.36,795.37
4,2,164,3,404.11,20.21,1151.7
5,3,207,4,180.0,0.0,720.0
6,3,45,3,119.27,11.93,322.02
7,3,130,3,1510.69,0.0,4532.07
8,4,246,2,507.8,50.78,914.04
9,4,262,1,638.45,63.85,574.6
10,5,149,1,1949.51,194.95,1754.56
11,5,277,2,1159.71,57.99,2203.44
12,5,173,4,1783.9,0.0,7135.6
13,5,28,2,1241.5,0.0,2483.0
14,6,60,2,1222.0,0.0,2444.0
15,6,194,4,1047.33,52.37,3979.84
16,6,56,3,451.68,0.0,1355.04
17,6,161,4,1583.73,0.0,6334.92
18,7,287,2,1577.46,0.0,3154.92
19,7,156,3,970.77,0.0,2912.31
20,7,28,2,1241.5,0.0,2483.0
21,8,79,2,713.91,35.7,1356.42
22,8,130,3,1510.69,0.0,4532.07
23,9,47,5,903.81,135.57,3841.2
24,9,73,3,1557.08,233.56,3970.56
25,9,186,2,1263.75,189.56,2148.38
26,9,243,2,1407.09,0.0,2814.18
27,10,256,1,1459.75,145.98,1313.77
28,11,190,2,1413.66,0.0,2827.32
29,11,136,3,1415.83,0.0,4247.49
30,11,151,2,1627.39,0.0,3254.78
31,11,173,3,1783.9,89.2,5084.1
32,12,227,1,1406.13,0.0,1406.13
33,12,256,1,1459.75,0.0,1459.75
34,12,184,2,1537.97,153.8,2768.34
35,12,19,1,395.2,0.0,395.2
36,13,106,1,901.23,135.18,766.05
37,13,49,5,1959.08,0.0,9795.4
38,13,182,3,413.3,0.0,1239.9
39,13,22,2,777.05,0.0,1554.1
40,14,231,1,1909.94,0.0,1909.94
41,14,78,5,750.39,75.04,3376.75
42,14,164,2,404.11,20.21,767.8
43,15,96,3,1520.76,152.08,4106.04
44,16,72,3,1966.01,294.9,5013.33
45,16,222,1,649.59,0.0,649.59
46,16,268,1,1238.49,0.0,1238.49
47,16,11,4,936.38,0.0,3745.52
48,17,58,1,1276.44,0.0,1276.44
49,17,203,1,1981.26,297.19,1684.07
50,18,178,1,593.38,0.0,593.38
51,18,60,2,1222.0,0.0,2444.0
52,18,219,2,1619.46,242.92,2753.08
53,19,270,3,215.05,21.51,580.62
54,19,65,4,70.62,0.0,282.48
55,20,25,4,1282.63,192.39,4360.96
56,21,66,4,673.04,0.0,2692.16
57,21,34,5,1777.52,88.88,8443.2
58,21,189,1,1823.61,91.18,1732.43
59,21,218,1,1970.29,295.54,1674.75
60,22,292,5,472.73,23.64,2245.45
61,22,123,5,1802.1,0.0,9010.5
62,23,155,5,1896.63,0.0,9483.15
63,23,130,4,1510.69,151.07,5438.48
64,24,190,4,1413.66,70.68,5371.92
65,25,251,5,286.56,28.66,1289.5
66,25,87,2,1011.8,151.77,1720.06
67,25,103,4,418.64,41.86,1507.12
68,26,35,5,412.56,0.0,2062.8
69,26,51,1,1865.35,186.54,1678.81
70,26,221,5,1264.36,189.65,5373.55
71,26,240,2,663.73,99.56,1128.34
72,27,209,2,996.86,99.69,1794.34
73,27,237,2,630.6,63.06,1135.08
74,28,208,5,1383.16,138.32,6224.2
75,28,133,3,1880.83,188.08,5078.25
76,29,93,2,543.89,27.19,1033.4
77,30,131,3,533.49,0.0,1600.47
78,30,269,2,631.77,0.0,1263.54
79,30,165,3,1318.8,0.0,3956.4
80,30,54,2,1641.79,0.0,3283.58
81,31,19,1,395.2,0.0,395.2
82,32,63,4,1412.33,0.0,5649.32
83,32,21,2,569.48,28.47,1082.02
84,32,212,1,497.02,0.0,497.02
85,32,169,4,1091.61,0.0,4366.44
86,33,20,2,1195.89,119.59,2152.6
87,33,88,5,408.11,0.0,2040.55
88,33,276,4,1126.73,112.67,4056.24
89,34,164,5,404.11,0.0,2020.55
90,34,45,1,119.27,0.0,119.27
91,35,201,3,326.19,32.62,880.71
92,36,274,4,86.5,8.65,311.4
93,36,93,1,543.89,27.19,516.7
94,37,215,4,218.63,10.93,830.8
95,38,175,2,1398.43,139.84,2517.18
96,38,264,2,1799.62,0.0,3599.24
97,39,135,3,947.98,94.8,2559.54
98,39,58,2,1276.44,0.0,2552.88
99,40,118,1,871.85,0.0,871.85
100,41,124,5,1778.35,88.92,8447.15
101,41,47,3,903.81,0.0,2711.43
102,41,130,3,1510.69,0.0,4532.07
103,42,112,1,1617.23,0.0,1617.23
104,42,287,5,1577.46,78.87,7492.95
105,42,160,1,220.7,11.04,209.66
106,42,195,4,1623.51,0.0,6494.04
107,43,138,3,1329.25,66.46,3788.37
108,43,248,5,817.27,0.0,4086.35
109,44,113,2,1331.85,0.0,2663.7
110,44,158,3,606.82,60.68,1638.42
111,44,93,2,543.89,0.0,1087.78
112,45,41,2,1206.54,120.65,2171.78
113,45,113,1,1331.85,199.78,1132.07
114,45,216,4,1544.53,77.23,5869.2
115,46,288,1,326.89,0.0,326.89
116,47,69,4,1913.93,287.09,6507.36
117,47,105,1,1388.47,0.0,1388.47
118,47,64,5,1350.38,135.04,6076.7
119,47,289,1,1802.36,180.24,1622.12
120,48,227,1,1406.13,0.0,1406.13
121,48,159,1,697.48,0.0,697.48
122,49,104,1,737.51,0.0,737.51
123,50,197,1,483.41,24.17,459.24
124,51,15,4,940.99,94.1,3387.56
125,51,121,1,1712.13,0.0,1712.13
126,51,82,5,1116.13,111.61,5022.6
127,51,248,5,817.27,81.73,3677.7
128,52,58,2,1276.44,63.82,2425.24
129,52,107,4,1767.41,88.37,6716.16
130,52,10,4,511.66,25.58,1944.32
131,53,4,4,1464.95,0.0,5859.8
132,53,54,1,1641.79,0.0,1641.79
133,54,93,1,543.89,81.58,462.31
134,54,284,4,315.77,0.0,1263.08
135,54,125,1,721.65,36.08,685.57
136,55,112,5,1617.23,80.86,7681.85
137,55,225,1,1006.57,150.99,855.58
138,55,184,5,1537.97,0.0,7689.85
139,56,61,2,1379.86,0.0,2759.72
140,56,224,2,1154.47,57.72,2193.5
141,56,46,2,1384.97,0.0,2769.94
142,57,89,4,169.24,0.0,676.96
143,58,179,5,1636.66,0.0,8183.3
144,58,279,5,1784.07,0.0,8920.35
145,59,41,5,1206.54,0.0,6032.7
146,59,20,2,1195.89,0.0,2391.78
147,59,225,5,1006.57,0.0,5032.85
148,59,269,3,631.77,63.18,1705.77
149,60,258,4,169.35,0.0,677.4
150,60,74,4,591.0,88.65,2009.4
151,60,147,3,1333.13,199.97,3399.48
152,61,161,3,1583.73,237.56,4038.51
153,61,188,1,720.74,108.11,612.63
154,61,243,4,1407.09,0.0,5628.36
155,62,132,1,1259.17,188.88,1070.29
156,62,41,5,1206.54,0.0,6032.7
157,62,177,1,1379.84,137.98,1241.86
158,62,298,5,256.45,25.64,1154.05
159,63,39,2,1169.3,116.93,2104.74
160,63,204,5,1481.79,0.0,7408.95
161,64,59,1,244.47,36.67,207.8
162,64,143,1,1843.29,0.0,1843.29
163,64,285,5,448.6,67.29,1906.55
164,64,265,3,1480.99,0.0,4442.97
165,65,106,3,901.23,135.18,2298.15
166,66,230,2,228.81,11.44,434.74
167,67,62,2,841.94,126.29,1431.3
168,68,202,3,1521.04,152.1,4106.82
169,68,111,2,1959.22,97.96,3722.52
170,69,159,3,697.48,34.87,1987.83
171,69,181,3,993.5,49.68,2831.46
172,70,256,2,1459.75,0.0,2919.5
173,70,152,2,1024.04,102.4,1843.28
174,70,82,1,1116.13,167.42,948.71
175,70,91,3,1487.6,0.0,4462.8
176,71,108,4,1422.76,213.41,4837.4
177,72,273,5,654.55,0.0,3272.75
178,72,130,1,1510.69,0.0,1510.69
179,73,123,2,1802.1,0.0,3604.2
180,73,127,4,1547.42,154.74,5570.72
181,73,81,3,825.68,41.28,2353.2
